name,city,rating,review_count,price,address,latitude,longitude,categories,is_closed,url,Visit_Type,$$/hour_GenAdmission,successful_or_not
Kitty Kisses Cat Cafe,Reno,4.2,64,,"8555 Double R Blvd, Ste 104, Reno, NV 89511",39.46085,-119.76432,Themed Cafes,FALSE,https://kittykissescatcafe.com/book-your-visit/,Appointment,15,0
Catelowna Cat Cafe,Kelowna,5,1,,"1441 Ellis Street, Suite 201, Kelowna, BC V1Y 2A3, Canada",49.887979,-119.493163,Themed Cafes,FALSE,https://catelowna.com/book-a-visit,Appointment,16,1
Mr. Kitty's Cat Cafe & Boutique,Eau Claire,5,2,,"502 S Farwell St, Eau Claire, WI 54701",44.809602,-91.497035,"Themed Cafes, Pet Adoption, Coffee & Tea",FALSE,https://mrkittyscatcafe.as.me/schedule/ddc5358d,Appointment,12.66,1
Aristocat Cafe,Harrisonburg,4.9,11,,"111 N Liberty St, Harrisonburg, VA 22802",38.45094,-78.8704,"Coffee & Tea, Cafes, Pet Adoption",FALSE,https://www.aristocat.cafe/reservations,Appointment,15,1
Rescued Treasures Cat Cafe,Las Vegas,4.6,58,,"4155 N Rancho Dr, Ste 150, Las Vegas, NV 89130",36.23561,-115.23063,"Pet Adoption, Animal Shelters, Themed Cafes",FALSE,https://palnv.org/,Appointment,12,1
Mount Purrnon Cat Cafe and  Wine Bar,Alexandria,4.4,64,$$,"109 S Alfred St, Alexandria, VA 22314",38.804887,-77.049491,"Pet Adoption, Coffee & Tea, Wine Bars",FALSE,https://www.mtpurrnoncatcafe.com/events,Appointment,40,1
Felius Cat CafÃÂ© & Rescue,Omaha,4.3,42,,"5015 Dodge St, Ste 101, Omaha, NE 68132",41.25946867334697,-95.99112746,"Pet Adoption, Coffee & Tea, Community Service/Non-Profit",FALSE,https://felius.org/reservations,Appointment,19.26,1
Kitty Kingdom Cat Cafe,Chesapeake,4.1,18,,"565 Cedar Rd, Ste 12, Chesapeake, VA 23322",36.71195,-76.2559,"Pet Adoption, Cafes, Coffee & Tea",FALSE,https://kittykingdomcatcafe.wpcomstaging.com/,Appointment,17,0
DeLand Cat Cafe,DeLand,5,13,,"844 E New York Ave, Unit B, DeLand, FL 32724",29.027898422341668,-81.2865728,"Themed Cafes, Coffee Roasteries",FALSE,https://www.delandcatcafe.com/reservations,Appointment,11.71,1
Constellation Cat Cafe,East Lansing,4.7,15,,"3320 E Lake Lansing Rd, East Lansing, MI 48823",42.757468,-84.47475,Pet Adoption,FALSE,https://www.constellationcatcafe.com/visit,Appointment,15,1
Give Purrs a Chance,Berkeley Springs,4.4,24,,"51 Independence St, Berkeley Springs, WV 25411",39.62889,-78.227037,Pet Adoption,FALSE,https://www.givepurrsachance.org/,Appointment,10,1
Catfeine,Murfreesboro,4.5,21,,"517 Cason Ln, Ste D, Murfreesboro, TN 37128",35.8416063,-86.4400538,"Pet Adoption, Themed Cafes",FALSE,https://www.catfeine.net/?ref=meowaround,Appointment,12,1
Purrs And Paws Cat Cafe,Victor,4.1,11,,"7979 Pittsford Victor Rd, Victor, NY 14564",43.029947,-77.443714,Cafes,FALSE,https://lazycatloungeandcafe.com/reservations,Appointment,10,0
Nine Lives Cat Lounge & Adoption Center,Joplin,5,34,,"2201 E 7th St, Joplin, MO 64801",37.08402270339115,-94.49036039,Community Service/Non-Profit,FALSE,https://www.ninelivescatlounge.com/?ref=meowaround,Appointment,160,0
The Tipsy Tabby,Newmarket,3.6,19,,"90 Main St, Newmarket, NH 03857",43.07966,-70.93613,"Desserts, Coffee & Tea",FALSE,https://www.thetipsytabby.com/?ref=meowaround,Appointment,14,0
KitTea,San Francisco,4.6,1079,$$,"1266 Valencia St, San Francisco, CA 94110",37.75264,-122.4209327,"Pet Adoption, Themed Cafes",FALSE,https://www.kitteasf.com/book-now,Unknown,29,1
Koneko,New York,3.2,377,$$,"26 Clinton St, New York, NY 10002",40.72044,-73.98412,"Breakfast & Brunch, Desserts, Themed Cafes",FALSE,https://www.konekonyc.com/reservations,Unknown,30,0
Naughty Cat Cafe,Chattanooga,5,123,$$,"3742 Tennessee Ave, Ste 100, Chattanooga, TN 37409",35.01126,-85.32652,"Coffee & Tea, Animal Shelters, Pet Stores",FALSE,https://www.naughtycatcafe.com/,Appointment,17,1
Kitty Bubble Cafe & Bar,Columbus,4,62,,"5568 N High St, Columbus, OH 43214",40.07631,-83.01841,Cafes,FALSE,https://kittybubblecafe.com/visit/,Unknown,15,0
Mac Tabby Cat Cafe,Charlotte,4.8,144,$,"3204 N Davidson St, Charlotte, NC 28205",35.2469972,-80.8054409,Themed Cafes,FALSE,https://www.mactabby.com/,Appointment,12,1
Seattle Meowtropolitan,Seattle,4.5,456,$$,"1225 N 45th St, Seattle, WA 98103",47.66125,-122.34291,Themed Cafes,FALSE,https://www.seameow.com,Appointment,19,1
Purrista Cat Cafe,Erie,4.4,10,,"30 W 8th St, Erie, PA 16501",42.1271716,-80.0850618,Themed Cafes,FALSE,https://www.purristacatcafe.com/,Appointment,15,1
Toe Beans Cat Cafe,Port Hope,2.9,7,,"119 Peter Street, Port Hope, ON L1A 1C5, Canada",43.94937887,-78.28368627,"Animal Shelters, Themed Cafes",FALSE,http://www.toebeanscatcafe.ca/?ref=meowaround,Unknown,10,0
Fat Cat CafÃÂ©,Tallahassee,4.4,19,,"2901 E Park Ave, Ste 2600, Tallahassee, FL 32301",30.44154877,-84.22875607,Pet Adoption,FALSE,https://www.fatcatcafetally.com/book-online,Appointment,10,1
Cat Therapy,Santa Barbara,4.6,150,$$,"1213 State St, Ste L, Santa Barbara, CA 93101",34.4233019,-119.7054707,"Pet Adoption, Accessories, Pet Stores",FALSE,https://www.cattherapysb.com/pages/book-now,Appointment,25,1
Purr Cup Cafe,Raleigh,4.4,48,$,"210 Prospect Ave, Raleigh, NC 27603",35.76308576,-78.648604,"Coffee & Tea, Cafes",FALSE,https://purrcupcafe.com/bookeo,Appointment,12,1
